	c1	c2	c3	c4	c5	c6	c7	c8	c9	
Control	  2063.37	    39.42	   -20.93	   886.30	   798.35	   846.89	   856.91	   878.78	   802.05	
SE	   324.69	   383.42	   377.95	   472.09	   472.13	   560.14	   557.68	   466.71	   467.71	
PSID	  2490.58	-15997.24	 -7623.65	-15577.57	 -8067.32	   419.67	  -749.21	 -2380.08	 -2118.60	
SE	   217.17	   795.11	   850.62	   913.33	   990.42	   650.58	   691.95	   680.27	   745.80	
PSID2	  2426.73	 -4503.12	 -3669.05	 -4019.60	 -3481.54	   483.53	  -650.27	 -1363.82	 -1693.69	
SE	   563.63	   607.57	   756.87	   781.40	   934.68	   737.78	   850.18	   729.04	   878.07	
PSID3	  2668.60	   455.40	   454.64	   697.06	  -509.22	   241.66	 -1324.56	   628.91	  -552.05	
SE	   745.62	   538.65	   704.34	   759.80	   967.42	   883.51	  1078.33	   757.04	   966.78	
CPS	  1195.86	-10584.71	 -4653.86	 -8870.31	 -4416.21	  1714.40	   195.17	 -1543.49	 -1102.32	
SE	    60.98	   539.31	   508.62	   562.48	   577.07	   452.29	   441.83	   425.69	   450.43	
CPS2	  2773.88	 -4331.14	 -2119.47	 -4194.76	 -2340.81	   136.38	  -474.76	 -1648.94	 -1128.53	
SE	   163.87	   481.30	   503.12	   533.00	   619.69	   493.37	   485.67	   458.63	   550.75	
CPS3	  4517.69	   599.61	   971.06	 -1007.82	    -1.45	 -1607.43	 -1496.97	 -1204.45	  -262.92	
SE	   333.98	   303.09	   381.73	   539.35	   681.21	   567.90	   584.73	   531.91	   676.91	
