fips,areaname,inc_2001q1,inc_2001q2,inc_2001q3,inc_2001q4,inc_2002q1,inc_2002q2,inc_2002q3,inc_2002q4,inc_2003q1,inc_2003q2,inc_2003q3,inc_2003q4,inc_2004q1,inc_2004q2,inc_2004q3,inc_2004q4,inc_2005q1,inc_2005q2,inc_2005q3,inc_2005q4,inc_2006q1,inc_2006q2,inc_2006q3,inc_2006q4,inc_2007q1,inc_2007q2,inc_2007q3,inc_2007q4,inc_2008q1,inc_2008q2,inc_2008q3,inc_2008q4,inc_2009q1
0,United States,8681021,8713764,8726357,8746826,8802758,8876427,8888413,8923886,8985759,9098189,9190338,9326994,9467137,9608547,9756260,10013509,10031927,10169828,10269082,10541055,10762175,10899551,11042683,11207803,11447305,11548389,11701751,11839843,11939004,12130924,12150853,12100935,12037360
1,Alabama,109274,110408,110688,111313,112368,113461,114291,115220,116690,117483,118720,120532,122976,125119,126811,130174,130665,132880,133344,137933,138491,140760,142824,144444,147643,149042,150891,152389,153897,158468,157344,156638,156690
2,Alaska,19620,20092,20146,20341,20462,20642,20779,21006,20783,21155,21251,21550,21979,22189,22555,23015,23607,23854,24346,24700,25294,25815,26085,26535,26882,27180,27367,27662,29105,29712,30091,30335,29371
4,Arizona,137195,138552,139826,139842,142595,143488,144410,146108,147196,149424,151205,154504,159779,163073,165946,170893,175472,180311,185625,188724,194543,197373,201417,204527,205774,207079,210275,211284,212797,215657,214590,212970,211477
5,Arkansas,61420,62000,62022,62426,62573,63134,63342,63887,65176,65844,66801,68083,68772,69719,71034,73277,73274,74328,75127,76706,78012,79318,80362,81688,83288,84409,85487,88490,87768,90446,89887,89713,89867
6,California,1136588,1136226,1132042,1136360,1139514,1146963,1148824,1155562,1163385,1180284,1193762,1210730,1235134,1254107,1272152,1302488,1306795,1326755,1357460,1380004,1421156,1432775,1455298,1473093,1493590,1510674,1530566,1548190,1547385,1574312,1577087,1556736,1544246
8,Colorado,152964,153026,152494,152315,152478,153241,153018,153528,152172,153721,156526,156897,159936,162662,163764,168584,171353,173818,177048,179265,185229,186064,190015,191547,194741,197516,200823,204854,206525,209055,210948,208859,207412
9,Connecticut,148161,147668,146489,147105,146628,147563,147156,146643,145945,148189,149278,151695,154822,157266,160638,164622,162356,165023,168528,172452,176969,178556,180622,183750,189067,190271,193449,194722,195189,196795,198377,196415,194063
10,Delaware,25178,25464,25667,25839,26493,26420,26654,26554,26894,27210,27619,27858,28504,29081,29303,30436,30040,30319,30789,32258,32539,32903,33237,33109,34153,34515,34710,34921,35192,35676,35763,35694,35448
11,District of Columbia,25154,25488,25634,25824,25565,25859,25797,25924,26370,26788,26995,27502,28474,28910,29294,30135,31060,31604,32198,32525,33797,34221,34688,35055,36006,36349,37135,37440,38106,38505,38786,39205,39365
12,Florida,472962,478190,479864,483533,489497,494568,496725,501167,503456,509747,517232,527076,547328,559727,567477,588191,594486,607251,621773,634222,652674,663301,674614,683346,689214,694590,705253,707648,710176,720598,716681,707448,701346
13,Georgia,238053,240398,241314,242700,243267,245465,244932,246164,247611,249462,251426,254723,258344,262313,266229,272528,276790,281183,286279,292855,295007,298832,302708,307380,315373,317723,320988,321989,325258,332055,329681,328121,326970
15,Hawaii,34756,34940,35404,35405,35904,36315,36487,36773,37154,37639,37930,38625,39883,40536,41344,42346,43191,43791,44286,45177,46238,47016,47787,48297,49219,49736,50548,50999,51639,52432,52340,52155,52571
16,Idaho,32694,33132,33069,33322,33422,33544,34043,34385,34304,34587,35011,35362,36961,37702,38292,39362,39732,40419,41226,42002,43047,44126,44537,45821,46756,47214,47773,48589,48456,49224,49073,48724,48320
17,Illinois,407423,406676,407531,407384,410741,414627,413396,416079,420920,426076,428584,431927,436076,440980,446759,456790,454296,459355,466781,471924,482030,488052,492931,499720,517397,521552,527835,537240,539937,549022,551463,547457,543138
18,Indiana,168071,167966,167446,168042,170113,171856,173078,174850,176218,177422,178655,182406,181790,185086,187256,190708,187886,190247,192351,194167,198589,200366,202624,204229,208074,209234,211231,213251,215845,218871,218442,218093,216769
19,Iowa,79192,79522,79452,79658,81662,82211,82539,83181,82328,83148,84373,85833,88802,89214,90466,93261,91303,92679,94071,94760,95518,96489,97426,99173,101968,103305,105059,106343,108665,110541,111292,110419,109052
20,Kansas,77015,77440,77678,78122,77993,78247,78686,79498,80169,80428,81405,82463,82721,83696,85380,86772,86311,87415,88954,89744,92970,94209,95519,97943,99711,100917,101716,103432,104984,107048,107225,107334,106652
21,Kentucky,100664,101213,101543,101966,102704,103826,104074,104859,104860,105675,106610,108131,109722,110696,112275,114697,114671,116378,117803,118912,121912,123268,124737,126316,128785,130160,130934,132445,133714,137051,136473,136597,136767
22,Louisiana,108782,109983,110570,111690,111741,112431,112847,113955,113488,114939,116286,118066,120146,121173,122565,125500,127522,128941,46320,140509,136158,138069,140262,142825,146424,154614,155699,157279,157076,161613,160718,162095,161115
23,Maine,34790,35055,35107,35476,35662,35965,36150,36218,36913,37196,37620,38402,38648,39127,39594,40582,39783,40120,40509,41099,41670,42265,42711,42969,44148,44477,44936,45283,45942,46699,46889,46908,46987
